level,cgpa,technical_skill,aptitude,certifications,projects,communication,target
College,7.17,97,79,0,9,93,Software Engineer
College,7.58,98,66,2,4,89,HR Executive
College,6.83,98,56,8,0,88,Data Scientist
College,8.26,95,100,6,8,51,Mobile App Developer
College,8.49,96,64,4,7,78,Mobile App Developer
College,7.67,90,81,1,10,93,Project Manager
College,7.35,52,85,4,7,97,HR Executive
College,7.43,81,98,5,6,60,AI Engineer
College,9.23,61,66,10,1,89,Digital Marketing Specialist
College,7.23,90,77,8,10,70,HR Executive
College,8.89,53,53,8,8,83,Business Analyst
College,6.48,96,63,8,10,76,Digital Marketing Specialist
College,7.95,86,89,10,4,85,Cloud Engineer
College,9.72,50,82,2,9,94,Data Scientist
College,9.99,56,72,6,2,82,AI Engineer
College,7.61,70,70,7,2,96,AI Engineer
College,9.93,66,67,0,8,74,Web Developer
College,9.62,92,83,7,9,52,Cloud Engineer
College,9.73,51,72,9,7,99,HR Executive
College,8.12,75,72,0,8,78,Business Analyst
College,8.51,91,89,10,6,88,Digital Marketing Specialist
College,6.82,51,83,10,0,71,Data Scientist
College,9.06,89,53,5,1,60,Data Scientist
College,6.55,95,61,9,7,56,Cloud Engineer
College,8.93,90,70,5,10,70,HR Executive
College,9.62,100,100,3,0,68,Cybersecurity Analyst
College,8.75,51,91,0,8,61,Mobile App Developer
College,7.87,54,64,2,1,91,Digital Marketing Specialist
College,9.82,52,76,7,4,89,Web Developer
College,7.57,76,51,5,1,87,Mobile App Developer
College,9.85,51,73,4,3,81,Project Manager
College,7.59,91,76,9,4,53,Mobile App Developer
College,8.15,58,81,2,0,69,Digital Marketing Specialist
College,8.55,92,93,3,3,100,Software Engineer
College,7.37,97,60,5,0,65,HR Executive
College,9.43,61,80,10,0,55,AI Engineer
College,6.84,100,79,10,5,73,Digital Marketing Specialist
College,6.87,68,100,1,2,82,Cybersecurity Analyst
College,7.66,77,59,10,2,96,Cybersecurity Analyst
College,8.35,71,87,4,6,96,Digital Marketing Specialist
College,7.39,74,64,3,10,79,Cloud Engineer
College,7.29,87,54,5,6,60,Data Scientist
College,9.29,68,94,6,2,69,Business Analyst
College,6.29,96,78,6,0,82,Data Scientist
College,6.91,97,75,0,10,66,Cybersecurity Analyst
College,8.39,60,95,1,7,81,Cybersecurity Analyst
College,7.79,86,81,4,8,81,Cybersecurity Analyst
College,8.3,86,88,6,3,53,HR Executive
College,6,53,87,7,2,50,Digital Marketing Specialist
College,8.07,53,67,8,2,78,Data Scientist
College,9.62,88,98,5,3,68,HR Executive
College,7.09,88,86,2,10,100,Cloud Engineer
College,6.17,93,98,6,10,95,HR Executive
College,8.1,55,66,10,2,86,HR Executive
College,9.2,92,65,5,6,77,Data Scientist
College,9.54,84,85,4,6,61,Data Scientist
College,9.76,81,60,3,10,94,Software Engineer
College,6.45,55,66,5,7,72,Cybersecurity Analyst
College,8.91,53,70,9,5,99,AI Engineer
College,9.43,58,50,0,8,93,Software Engineer
College,8.8,58,86,0,8,98,Business Analyst
College,7.39,69,51,7,5,52,Project Manager
College,9.46,71,61,4,0,81,AI Engineer
College,9.22,91,100,4,4,50,Mobile App Developer
College,9.2,92,99,5,4,96,Data Scientist
College,9.6,67,59,0,4,80,Digital Marketing Specialist
College,7.58,75,68,1,8,92,Business Analyst
College,8.41,51,54,4,8,74,Data Scientist
College,7.43,52,93,2,5,98,HR Executive
College,8.49,52,78,0,8,88,AI Engineer
College,9.54,95,71,9,0,74,Mobile App Developer
College,6.91,54,74,2,0,79,Digital Marketing Specialist
College,6.65,64,52,2,5,54,Cloud Engineer
College,7.16,78,63,3,6,51,Cybersecurity Analyst
College,8.35,52,55,6,0,74,Web Developer
College,7.14,81,94,9,5,61,HR Executive
College,7.43,85,54,6,7,84,Cybersecurity Analyst
College,6.71,67,63,2,10,100,Web Developer
College,8.98,93,78,2,2,71,Cybersecurity Analyst
College,9.87,68,98,4,9,85,Cybersecurity Analyst
College,6.71,90,77,9,9,74,Digital Marketing Specialist
College,9.61,69,81,7,2,62,Data Scientist
College,9.28,55,60,2,2,95,Digital Marketing Specialist
College,6.57,89,89,9,6,84,HR Executive
College,7.48,50,57,0,2,65,Web Developer
College,9.33,80,76,5,8,93,HR Executive
College,7.96,86,76,1,7,77,Data Scientist
College,7.42,73,55,0,2,83,Project Manager
College,9.68,90,75,10,2,56,Cloud Engineer
College,8.51,50,68,9,1,53,Digital Marketing Specialist
College,6.31,55,68,10,6,98,Web Developer
College,6.45,66,53,3,3,82,HR Executive
College,6.11,100,63,6,3,93,Project Manager
College,9.7,81,57,10,10,98,Digital Marketing Specialist
College,7.46,77,74,8,4,92,HR Executive
College,9.95,88,68,7,3,64,Project Manager
College,7.07,76,87,9,2,68,HR Executive
College,9.05,91,84,3,8,96,AI Engineer
College,9.77,66,74,8,3,66,AI Engineer
College,7.55,81,76,8,6,51,Cloud Engineer
College,7.96,51,72,6,7,81,Mobile App Developer
College,8.83,62,99,4,1,79,Software Engineer
College,7.72,87,53,5,5,59,Mobile App Developer
College,9.46,51,73,5,5,74,Cloud Engineer
College,8.63,82,82,2,3,71,Cybersecurity Analyst
College,9.29,90,93,1,2,79,HR Executive
College,8.44,79,82,4,6,90,Project Manager
College,8.93,66,72,6,8,58,Cloud Engineer
College,7.03,96,64,7,9,59,Mobile App Developer
College,7.37,56,77,6,10,50,AI Engineer
College,9.69,90,90,8,6,79,Data Scientist
College,7.02,94,86,8,9,56,Cybersecurity Analyst
College,8.02,72,59,9,5,93,Cloud Engineer
College,9.97,98,82,9,5,74,Software Engineer
College,7.21,61,79,10,3,73,Web Developer
College,9.28,86,62,5,1,85,Project Manager
College,6.85,93,55,6,2,97,Business Analyst
College,7.23,89,99,4,1,63,Software Engineer
College,7.35,94,63,5,2,90,Software Engineer
College,9.82,86,57,4,3,62,AI Engineer
College,8.14,58,88,10,8,65,HR Executive
College,7.28,95,97,7,0,61,Mobile App Developer
College,6.92,94,62,8,6,65,Cybersecurity Analyst
College,7.52,94,61,1,1,69,HR Executive
College,8.78,87,67,9,2,82,Web Developer
College,9.77,99,54,8,9,90,HR Executive
College,6.15,67,88,10,3,70,Software Engineer
College,6.8,54,75,4,5,60,Business Analyst
College,8.33,98,70,0,6,76,AI Engineer
College,7.3,78,97,9,5,51,HR Executive
College,6.29,87,59,0,8,66,Software Engineer
College,9.62,76,62,9,8,93,AI Engineer
College,8.38,92,97,2,9,83,Business Analyst
College,6.94,92,57,9,3,96,Business Analyst
College,9.07,65,97,5,10,86,Data Scientist
College,8.81,90,80,3,10,96,Project Manager
College,7.7,67,70,7,5,64,Data Scientist
College,7.61,51,66,6,10,89,Project Manager
College,9.57,59,67,9,2,92,Mobile App Developer
College,7.23,92,71,1,9,99,Software Engineer
College,6.19,94,85,9,10,77,Digital Marketing Specialist
College,7.42,70,74,4,2,100,AI Engineer
College,9.34,100,88,5,2,70,Cybersecurity Analyst
College,8.66,78,50,3,2,71,AI Engineer
College,8.38,73,81,2,7,96,Business Analyst
College,8.84,58,77,8,5,91,Mobile App Developer
College,8.72,82,70,4,0,93,Software Engineer
College,8.61,82,73,1,8,57,Mobile App Developer
College,8.61,64,61,0,2,60,Mobile App Developer
College,6.92,69,81,1,5,87,Digital Marketing Specialist
College,9.57,79,75,10,8,66,AI Engineer
College,9.47,55,73,7,3,95,Software Engineer
College,7.48,73,58,2,9,68,Digital Marketing Specialist
College,6.35,69,74,8,9,55,Mobile App Developer
College,7.3,50,91,6,6,50,HR Executive
College,6.27,94,67,2,0,85,Project Manager
College,9.45,67,76,5,8,71,Data Scientist
College,9.02,56,50,7,8,74,Project Manager
College,6.69,63,91,4,1,67,Web Developer
College,9.03,65,92,2,3,52,Digital Marketing Specialist
College,9.69,70,66,9,6,82,Data Scientist
College,8.4,72,59,10,2,96,Project Manager
College,6.05,90,68,7,0,54,Data Scientist
College,6.18,68,100,3,6,78,Mobile App Developer
College,7.75,85,83,0,9,95,Mobile App Developer
College,7.31,84,68,9,2,54,Web Developer
College,7.44,70,54,0,9,91,Cybersecurity Analyst
College,8.68,75,72,5,2,69,Digital Marketing Specialist
College,9.97,53,63,2,4,68,AI Engineer
College,9.85,78,77,3,0,70,Cybersecurity Analyst
College,9.81,96,87,9,3,59,Cybersecurity Analyst
College,6.87,67,95,4,2,85,Data Scientist
College,9.86,67,84,9,3,97,Cloud Engineer
College,6.36,83,98,0,0,98,Data Scientist
College,9.93,50,68,3,6,81,Cybersecurity Analyst
College,6.81,54,66,3,7,99,Mobile App Developer
College,6.86,66,98,2,10,62,Mobile App Developer
College,8.79,51,68,2,8,91,Web Developer
College,7.09,64,53,10,3,84,Cloud Engineer
College,7.8,70,72,9,5,85,Software Engineer
College,8.36,73,89,8,1,94,HR Executive
College,8.17,61,66,2,4,78,Cloud Engineer
College,6.56,94,64,10,7,81,Business Analyst
College,9.45,57,56,7,5,58,Mobile App Developer
College,7.03,56,74,8,6,74,Digital Marketing Specialist
College,9.01,71,69,2,9,80,AI Engineer
College,6,57,65,8,10,58,Business Analyst
College,6.58,61,56,0,0,78,Business Analyst
College,7.11,59,100,8,5,74,Cloud Engineer
College,6.69,72,67,1,9,71,Cloud Engineer
College,8.85,85,67,7,0,84,Project Manager
College,6.04,55,96,5,5,81,AI Engineer
College,6.53,77,65,5,7,67,Cloud Engineer
College,7.86,76,54,2,5,85,Cloud Engineer
College,6.32,98,51,6,2,84,AI Engineer
College,8.23,90,59,2,0,51,Digital Marketing Specialist
College,6.57,64,69,8,2,86,Mobile App Developer
College,8.24,94,83,10,5,84,Business Analyst
College,7.4,63,69,10,5,80,AI Engineer
College,9.26,56,93,6,4,59,Project Manager
College,6.32,100,66,10,8,51,HR Executive
College,9.67,75,88,9,3,71,Mobile App Developer
College,9.73,50,85,10,10,83,Data Scientist
College,7.4,97,94,7,4,89,Business Analyst
College,7.99,90,64,10,9,72,Project Manager
College,6.11,76,87,7,3,93,Digital Marketing Specialist
College,6.64,77,73,2,3,55,Digital Marketing Specialist
College,7.67,88,90,1,6,87,Digital Marketing Specialist
College,8.66,70,98,2,6,55,Cloud Engineer
College,6.86,70,63,7,10,79,Cybersecurity Analyst
College,8.56,98,89,2,7,68,HR Executive
College,8.17,88,64,7,2,91,Data Scientist
College,7.35,57,58,4,8,82,Business Analyst
College,8.52,75,50,10,5,76,Digital Marketing Specialist
College,6.31,60,73,5,2,100,Data Scientist
College,8.12,92,92,4,1,50,Cybersecurity Analyst
College,7.22,85,69,3,0,71,Mobile App Developer
College,9.46,69,68,4,3,77,Project Manager
College,7.8,75,54,10,2,99,Data Scientist
College,7.33,96,77,3,10,61,AI Engineer
College,9.35,65,72,8,7,99,Cybersecurity Analyst
College,6.55,86,84,7,7,54,AI Engineer
College,6.79,75,72,9,2,68,Software Engineer
College,7.25,80,96,9,7,79,Business Analyst
College,8.73,70,61,0,7,94,HR Executive
College,9.04,58,65,7,8,88,HR Executive
College,8.53,52,94,3,3,82,AI Engineer
College,9.3,57,55,3,0,79,Web Developer
College,9.94,55,90,6,6,50,Mobile App Developer
College,9.58,51,60,8,2,99,Data Scientist
College,9.66,74,75,4,2,100,AI Engineer
College,7.1,84,64,7,5,88,Project Manager
College,6.21,100,50,5,8,69,Cybersecurity Analyst
College,6.22,66,52,4,7,56,Cybersecurity Analyst
College,9.93,67,52,8,5,54,Cloud Engineer
College,6.04,53,96,0,4,71,Cloud Engineer
College,8.82,77,68,7,2,76,Cloud Engineer
College,9.08,78,64,1,8,95,Mobile App Developer
College,6.69,86,83,6,3,86,Software Engineer
College,7.79,93,100,1,8,67,Cloud Engineer
College,6.84,72,79,2,2,80,Software Engineer
College,7.5,83,69,3,4,98,Digital Marketing Specialist
College,8.07,68,76,3,9,78,Project Manager
College,10,73,89,4,6,82,Web Developer
College,9.49,93,98,7,3,50,Web Developer
College,8.55,74,52,3,1,83,Data Scientist
College,8.03,61,55,10,8,73,Cybersecurity Analyst
College,9.06,50,58,0,2,76,Web Developer
College,8.74,88,84,2,8,81,Software Engineer
College,7.18,53,77,2,0,68,Mobile App Developer
College,7.29,66,86,4,4,96,Cloud Engineer
College,9.61,94,90,0,3,92,AI Engineer
College,9.25,82,85,6,3,59,Web Developer
College,6.12,77,76,3,4,75,AI Engineer
College,6.71,56,100,10,2,81,AI Engineer
College,7.33,73,84,3,9,63,AI Engineer
College,9.58,100,85,3,3,52,Digital Marketing Specialist
College,8.96,72,80,2,7,97,HR Executive
College,6.25,91,95,4,8,61,AI Engineer
College,9.73,55,85,9,10,80,Digital Marketing Specialist
College,8.34,59,96,10,2,60,Business Analyst
College,6.43,97,90,5,3,82,HR Executive
College,6.63,50,70,1,4,69,Project Manager
College,9.9,80,94,4,1,100,Digital Marketing Specialist
College,8.61,94,72,9,1,54,HR Executive
College,6.94,54,59,8,0,87,HR Executive
College,6.88,75,55,8,3,53,Project Manager
College,9.92,78,82,5,3,89,HR Executive
College,6.88,90,75,6,0,99,AI Engineer
College,6.51,95,97,8,7,57,Business Analyst
College,7.1,89,55,7,4,57,Cloud Engineer
College,6.59,88,81,10,7,55,HR Executive
College,7.54,60,53,0,6,73,Cybersecurity Analyst
College,8.42,85,52,9,4,73,Software Engineer
College,6.72,95,82,3,0,59,AI Engineer
College,6.3,72,81,10,4,93,HR Executive
College,9.49,59,68,7,4,99,Digital Marketing Specialist
College,7.46,67,73,4,8,52,HR Executive
College,6.55,78,57,1,8,65,Business Analyst
College,9.83,56,58,9,5,85,Digital Marketing Specialist
College,8.04,55,59,7,8,81,Cybersecurity Analyst
College,6.01,61,58,6,0,96,Data Scientist
College,6.85,50,80,6,4,57,Cloud Engineer
College,6.33,89,87,7,8,56,Cybersecurity Analyst
College,9.98,63,72,8,3,60,Business Analyst
College,8.62,76,70,0,8,78,Data Scientist
College,9.83,78,62,8,5,94,Business Analyst
College,6.14,71,67,8,4,96,Business Analyst
College,9.98,90,87,5,2,51,Web Developer
College,9.47,98,68,6,0,70,Web Developer
College,6.43,80,59,4,8,85,AI Engineer
College,7.76,57,94,4,1,54,Project Manager
College,6.16,79,54,4,0,66,Web Developer
College,9.59,92,72,10,10,82,Mobile App Developer
College,8.73,63,76,5,5,78,Cybersecurity Analyst
College,7.09,99,83,5,8,52,Cybersecurity Analyst
College,7.56,86,56,4,6,65,Software Engineer
College,9.24,99,75,4,8,59,Digital Marketing Specialist
College,6.17,53,92,4,8,53,AI Engineer
College,6.02,54,92,8,2,90,Cloud Engineer
College,9.52,78,76,2,8,61,Data Scientist
College,8.48,61,98,0,5,71,AI Engineer
College,6.09,70,67,0,9,63,Data Scientist
College,7.54,84,92,1,4,92,Web Developer
College,9.72,62,66,4,5,70,Software Engineer
College,9.06,84,78,4,2,97,HR Executive
College,7.8,95,99,8,8,53,Mobile App Developer
College,8.58,79,87,10,0,93,Cloud Engineer
College,9.87,98,74,5,6,65,AI Engineer
College,9.96,90,67,0,10,51,Digital Marketing Specialist
College,9.33,54,95,9,10,97,Mobile App Developer
College,8.74,55,99,0,1,92,Business Analyst
College,6.09,85,83,0,1,63,AI Engineer
College,7.56,57,87,0,1,99,Cloud Engineer
College,9.1,58,93,9,5,86,Software Engineer
College,6.8,66,77,8,2,91,Data Scientist
College,7.03,64,74,0,10,61,Data Scientist
College,9.67,82,100,1,2,93,Data Scientist
College,8.09,91,73,10,6,65,Business Analyst
College,9.43,54,97,5,5,93,Project Manager
College,8.98,92,74,1,4,88,Digital Marketing Specialist
College,8.69,60,100,6,4,74,Web Developer
College,9.36,97,90,4,6,58,Project Manager
College,8.44,65,74,9,0,55,Cybersecurity Analyst
College,9.51,75,88,9,1,82,Digital Marketing Specialist
College,8.96,73,72,1,8,82,Software Engineer
College,9.81,71,52,9,10,100,Business Analyst
College,9.32,63,84,10,5,53,Project Manager
College,8.86,58,81,5,0,86,Cloud Engineer
College,9.84,56,99,9,1,64,Mobile App Developer
College,6.37,65,98,10,7,71,Cloud Engineer
College,8.3,70,57,3,9,65,Web Developer
College,8.14,78,64,8,7,70,Data Scientist
College,9.14,61,93,3,1,99,Software Engineer
College,6.82,67,55,8,1,86,Web Developer
College,6.59,97,79,2,0,72,HR Executive
College,9.93,64,72,0,7,70,HR Executive
College,6.34,97,89,3,0,69,Web Developer
College,9.8,63,68,2,4,50,Cybersecurity Analyst
College,6.09,81,56,4,9,57,Cybersecurity Analyst
College,8.76,52,92,1,3,52,Cloud Engineer
College,9.36,83,82,3,8,79,Data Scientist
College,6.88,59,86,4,8,85,Web Developer
College,9.61,75,95,3,8,76,Project Manager
College,7.08,78,54,3,7,58,HR Executive
College,6.97,59,67,1,9,56,Data Scientist
College,9.55,87,71,5,10,59,Software Engineer
College,6.51,57,100,6,7,76,Web Developer
College,8.17,53,76,2,9,75,Digital Marketing Specialist
College,9.24,76,68,3,8,95,Software Engineer
College,9.05,99,66,9,0,50,Cloud Engineer
College,6.78,57,53,5,8,79,Digital Marketing Specialist
College,7.44,81,59,5,3,98,HR Executive
College,7.23,53,52,4,0,96,Mobile App Developer
College,9.9,73,64,0,7,78,Web Developer
College,6.33,62,94,2,0,51,Data Scientist
College,8.3,85,86,1,10,54,HR Executive
College,6.58,61,87,6,7,73,Project Manager
College,9.84,77,84,2,9,91,Cybersecurity Analyst
College,8.97,85,98,0,4,89,Mobile App Developer
College,8.29,57,96,8,10,50,AI Engineer
College,8.04,66,50,2,1,71,Mobile App Developer
College,9.26,59,52,3,1,69,Business Analyst
College,8.38,74,83,5,7,78,AI Engineer
College,7.33,90,63,10,1,65,Digital Marketing Specialist
College,6.38,87,85,4,3,99,AI Engineer
College,8.1,82,70,5,9,53,Digital Marketing Specialist
College,7.73,76,77,8,1,84,Web Developer
College,6.86,74,92,1,8,98,Data Scientist
College,7.74,91,82,6,8,70,Software Engineer
College,8.14,92,79,2,4,94,Digital Marketing Specialist
College,8.93,72,69,9,8,53,Software Engineer
College,6.26,69,87,8,5,58,Software Engineer
College,6.57,64,54,6,9,52,HR Executive
College,6.02,95,77,6,10,75,HR Executive
College,8.14,82,85,9,6,100,Mobile App Developer
College,9,83,60,8,5,89,Data Scientist
College,6.77,78,94,0,7,83,Cloud Engineer
College,6.8,91,77,1,5,93,Project Manager
College,8.29,75,89,10,9,52,AI Engineer
College,9.12,56,93,3,10,80,Data Scientist
College,6.29,66,85,9,5,80,Cloud Engineer
College,8.43,56,95,6,5,97,Cloud Engineer
College,9.31,89,64,8,5,71,Web Developer
College,8.58,82,94,4,0,54,Cybersecurity Analyst
College,8.36,73,59,1,3,52,HR Executive
College,8.03,56,60,9,4,87,Web Developer
College,8.39,80,83,2,4,85,Digital Marketing Specialist
College,6.98,58,92,0,10,55,Web Developer
College,6.68,94,78,4,7,64,Digital Marketing Specialist
College,6.94,62,94,0,7,97,Digital Marketing Specialist
College,8.09,90,98,8,6,64,Cloud Engineer
College,9.63,80,81,3,1,75,AI Engineer
College,6.86,56,94,6,6,99,Cloud Engineer
College,6.54,72,100,5,8,61,Digital Marketing Specialist
College,7.11,93,51,5,2,91,AI Engineer
College,8.45,60,74,3,0,53,Cybersecurity Analyst
College,8.79,81,63,3,3,86,Mobile App Developer
College,7.39,89,90,7,2,77,Business Analyst
College,8.22,77,57,3,6,85,Data Scientist
College,7.43,63,64,4,3,93,Web Developer
College,6.26,79,91,9,3,92,Web Developer
College,9.6,54,66,8,10,54,Business Analyst
College,6.49,76,91,4,1,90,Digital Marketing Specialist
College,9.46,80,95,4,7,81,Mobile App Developer
College,9.3,87,69,2,0,100,Cloud Engineer
College,6.78,59,97,10,10,94,Digital Marketing Specialist
College,9.64,59,84,0,9,88,AI Engineer
College,7.62,79,58,0,2,62,Web Developer
College,8.83,64,65,5,7,82,Mobile App Developer
College,6.5,64,62,3,7,92,Cybersecurity Analyst
College,6.22,92,74,5,1,99,Cybersecurity Analyst
College,8.87,70,69,10,4,74,AI Engineer
College,7.14,64,69,5,5,90,HR Executive
College,6.65,63,59,9,7,87,Project Manager
College,7.03,97,53,9,5,74,Cloud Engineer
College,6.55,85,80,6,10,60,Project Manager
College,7.91,63,99,6,10,79,Software Engineer
College,6.92,80,79,9,0,50,Business Analyst
College,9.03,64,63,1,10,94,AI Engineer
College,6.11,76,65,7,8,86,Mobile App Developer
College,7.72,95,92,5,6,83,HR Executive
College,8.9,83,83,9,7,66,Software Engineer
College,6.52,69,66,3,1,54,HR Executive
College,9.87,57,75,2,4,83,Business Analyst
College,9.12,65,61,7,5,70,Digital Marketing Specialist
College,7.98,88,51,8,3,76,Mobile App Developer
College,8.01,74,57,2,7,69,Web Developer
College,7.22,75,86,10,7,79,Web Developer
College,6.74,90,83,1,10,86,Data Scientist
College,7.55,83,99,10,10,50,Mobile App Developer
College,7.1,86,87,6,4,99,Software Engineer
College,8.62,50,70,8,0,53,Cybersecurity Analyst
College,7.1,79,55,8,4,62,Project Manager
College,9.08,87,61,9,9,73,Mobile App Developer
College,8.83,65,98,3,4,67,HR Executive
College,7.02,100,71,2,9,50,Data Scientist
College,6.28,62,71,6,7,72,Project Manager
College,8.2,90,98,1,3,94,Business Analyst
College,8.51,87,58,0,4,72,Cybersecurity Analyst
College,6.21,94,76,6,6,54,Digital Marketing Specialist
College,9.3,56,75,3,2,90,HR Executive
College,9.48,59,92,0,5,96,Cloud Engineer
College,8.74,84,68,3,8,67,Mobile App Developer
College,9.63,50,51,9,5,90,Software Engineer
College,6.2,91,100,8,1,85,Cloud Engineer
College,7.17,89,75,10,1,84,Business Analyst
College,9.73,67,83,9,5,53,Digital Marketing Specialist
College,7.69,73,96,4,2,75,Digital Marketing Specialist
College,8.11,92,87,4,3,67,Web Developer
College,8.62,68,95,9,2,75,Project Manager
College,6.57,78,53,3,10,91,Project Manager
College,6.35,93,95,9,1,57,Mobile App Developer
College,9.74,68,70,0,10,79,Project Manager
College,6.03,100,80,8,0,59,Mobile App Developer
College,7.35,63,50,3,3,84,Mobile App Developer
College,7.6,57,52,6,6,61,AI Engineer
College,8.17,100,67,6,7,95,Cybersecurity Analyst
College,6.05,68,71,1,7,92,AI Engineer
College,9.68,76,88,5,2,66,Digital Marketing Specialist
College,7.55,51,79,10,4,84,Data Scientist
College,6.12,56,87,5,2,64,Cloud Engineer
College,6.1,85,89,3,0,64,Cloud Engineer
College,6.25,97,63,2,7,88,Digital Marketing Specialist
College,8.99,83,67,0,9,59,AI Engineer
College,8.2,59,58,0,10,67,Project Manager
College,7.36,82,95,2,6,97,Project Manager
College,6.64,78,84,0,1,52,Mobile App Developer
College,9.42,73,76,2,0,56,Digital Marketing Specialist
College,8.73,99,65,3,8,71,HR Executive
College,7.64,54,59,9,4,96,Data Scientist
College,6.61,98,87,1,6,80,Cloud Engineer
College,9.22,50,74,8,5,61,Web Developer
College,8.18,57,69,7,10,73,Digital Marketing Specialist
College,7.31,54,85,1,10,51,Cloud Engineer
College,7.69,59,78,3,8,84,Cloud Engineer
College,9.69,53,55,6,6,60,Digital Marketing Specialist
College,6.68,96,69,7,5,95,Software Engineer
College,9.15,84,99,5,10,71,Mobile App Developer
College,6.82,93,86,9,2,78,Mobile App Developer
College,9.97,57,76,2,0,95,Cybersecurity Analyst
College,7.15,95,58,3,4,72,Cloud Engineer
College,8.15,99,86,4,5,93,Mobile App Developer
College,6.97,76,62,8,4,67,Mobile App Developer
College,8.2,93,98,10,8,56,HR Executive
College,8.91,79,75,0,6,81,Cloud Engineer
College,8.05,58,82,6,10,82,Software Engineer
College,6.13,53,66,2,1,69,Data Scientist
