level,tenth_marks,twelfth_marks,stream,aptitude,communication,target
12th,91,60,Commerce,50,56,BBA
12th,72,78,Commerce,57,96,B.Com
12th,96,61,Biology,70,84,MBBS
12th,59,85,Commerce,87,53,BA Economics
12th,94,82,Biology,55,80,B.Pharm
12th,85,60,Maths,99,65,Mechanical Engineering
12th,57,71,Maths,63,69,Civil Engineering
12th,78,75,Commerce,73,77,BA Economics
12th,65,92,Maths,84,79,B.Tech IT
12th,63,79,Maths,96,98,Civil Engineering
12th,90,67,Commerce,97,61,BBA
12th,75,85,Commerce,97,82,CA Foundation
12th,61,97,Maths,80,84,Civil Engineering
12th,61,79,Maths,87,88,B.E CSE
12th,57,83,Commerce,78,60,BA Economics
12th,57,77,Biology,78,51,MBBS
12th,57,75,Maths,59,68,B.E CSE
12th,63,81,Biology,91,91,BDS
12th,60,76,Maths,65,97,Mechanical Engineering
12th,84,64,Commerce,90,98,BA Economics
12th,68,55,Commerce,62,56,B.Com
12th,84,90,Biology,67,99,BDS
12th,93,56,Maths,52,59,B.Tech IT
12th,98,100,Biology,91,83,MBBS
12th,99,60,Commerce,85,75,BA Economics
12th,55,84,Maths,70,66,B.E CSE
12th,100,92,Biology,88,84,MBBS
12th,81,73,Maths,93,92,B.E CSE
12th,65,64,Maths,91,94,Civil Engineering
12th,74,86,Biology,50,55,MBBS
12th,66,77,Maths,86,60,B.E CSE
12th,74,99,Maths,57,92,B.Tech IT
12th,70,84,Maths,67,68,B.E CSE
12th,97,89,Maths,58,90,B.Tech IT
12th,92,76,Commerce,74,58,CA Foundation
12th,93,78,Biology,57,93,B.Pharm
12th,59,96,Commerce,83,80,B.Com
12th,74,98,Biology,81,78,BDS
12th,59,73,Maths,75,82,B.E CSE
12th,79,79,Maths,50,92,B.E CSE
12th,86,96,Biology,69,65,MBBS
12th,76,80,Biology,71,97,MBBS
12th,85,78,Biology,78,51,B.Pharm
12th,73,78,Maths,65,77,Civil Engineering
12th,56,97,Commerce,98,97,BBA
12th,94,66,Commerce,83,93,B.Com
12th,57,94,Biology,78,97,BDS
12th,64,92,Biology,97,61,B.Pharm
12th,90,57,Commerce,87,79,CA Foundation
12th,98,74,Commerce,96,60,BBA
12th,100,75,Biology,89,55,MBBS
12th,72,64,Commerce,72,76,BBA
12th,74,66,Biology,98,72,B.Sc Nursing
12th,85,62,Biology,59,57,BDS
12th,100,85,Maths,90,80,Civil Engineering
12th,74,93,Commerce,72,90,B.Com
12th,96,65,Maths,92,86,B.E CSE
12th,57,93,Biology,60,90,B.Pharm
12th,68,70,Commerce,98,88,CA Foundation
12th,81,71,Maths,74,84,B.E CSE
12th,59,63,Maths,77,77,Mechanical Engineering
12th,59,86,Commerce,74,67,B.Com
12th,70,58,Biology,91,50,B.Pharm
12th,88,82,Commerce,61,58,B.Com
12th,69,99,Maths,89,85,Civil Engineering
12th,96,57,Maths,65,74,Civil Engineering
12th,71,93,Maths,72,51,Mechanical Engineering
12th,64,63,Commerce,78,74,BA Economics
12th,62,73,Biology,60,62,B.Sc Nursing
12th,79,65,Maths,89,58,Mechanical Engineering
12th,67,93,Biology,83,70,MBBS
12th,96,62,Maths,100,50,Civil Engineering
12th,80,60,Maths,65,98,Mechanical Engineering
12th,74,100,Commerce,92,67,CA Foundation
12th,70,87,Commerce,56,81,BA Economics
12th,77,87,Commerce,66,100,B.Com
12th,60,81,Commerce,66,86,B.Com
12th,81,56,Maths,63,74,Civil Engineering
12th,65,66,Maths,81,94,Mechanical Engineering
12th,91,99,Biology,50,67,B.Pharm
12th,58,78,Commerce,78,81,BA Economics
12th,90,78,Maths,91,55,Mechanical Engineering
12th,80,73,Biology,87,99,B.Sc Nursing
12th,69,65,Maths,68,81,B.Tech IT
12th,76,77,Maths,53,54,Civil Engineering
12th,82,80,Commerce,79,78,BA Economics
12th,79,65,Commerce,99,69,BBA
12th,56,71,Maths,88,53,B.Tech IT
12th,61,61,Biology,88,88,B.Pharm
12th,78,84,Commerce,98,89,CA Foundation
12th,84,61,Maths,94,96,Civil Engineering
12th,89,59,Biology,74,59,B.Sc Nursing
12th,97,94,Maths,53,61,Civil Engineering
12th,97,67,Maths,100,98,B.Tech IT
12th,73,69,Maths,58,75,B.Tech IT
12th,69,83,Commerce,68,55,BBA
12th,57,61,Maths,50,51,Civil Engineering
12th,99,86,Maths,52,56,Civil Engineering
12th,58,66,Biology,82,65,BDS
12th,56,96,Commerce,52,56,B.Com
12th,66,58,Commerce,72,81,B.Com
12th,63,96,Maths,85,63,Civil Engineering
12th,78,68,Biology,74,64,MBBS
12th,60,79,Maths,80,81,Mechanical Engineering
12th,96,74,Biology,79,75,MBBS
12th,93,95,Maths,87,81,Civil Engineering
12th,58,65,Commerce,60,93,B.Com
12th,64,91,Commerce,53,99,BA Economics
12th,99,89,Maths,62,67,B.E CSE
12th,65,86,Biology,70,88,B.Sc Nursing
12th,96,78,Commerce,74,71,CA Foundation
12th,59,61,Maths,56,93,Mechanical Engineering
12th,90,65,Maths,65,92,B.Tech IT
12th,65,91,Biology,58,93,MBBS
12th,96,80,Biology,98,98,BDS
12th,77,70,Maths,100,98,B.Tech IT
12th,95,67,Maths,84,50,Mechanical Engineering
12th,86,69,Commerce,77,79,CA Foundation
12th,92,74,Biology,95,71,B.Pharm
12th,77,61,Biology,88,56,BDS
12th,88,59,Commerce,82,76,BBA
12th,65,73,Biology,99,71,B.Sc Nursing
12th,85,82,Biology,88,86,MBBS
12th,84,69,Biology,62,78,B.Pharm
12th,64,81,Biology,87,68,B.Pharm
12th,98,95,Maths,65,83,B.Tech IT
12th,74,61,Maths,96,58,B.Tech IT
12th,68,89,Biology,82,100,MBBS
12th,78,94,Biology,97,67,B.Sc Nursing
12th,76,90,Biology,88,61,B.Pharm
12th,70,87,Commerce,95,59,BBA
12th,98,61,Biology,99,50,MBBS
12th,96,60,Commerce,50,55,BBA
12th,57,93,Maths,82,75,B.E CSE
12th,80,67,Commerce,65,91,BBA
12th,64,85,Commerce,100,68,CA Foundation
12th,99,76,Biology,55,68,BDS
12th,78,75,Maths,52,52,B.Tech IT
12th,80,92,Biology,59,89,B.Sc Nursing
12th,100,71,Commerce,71,80,CA Foundation
12th,81,87,Maths,91,74,Mechanical Engineering
12th,57,55,Commerce,77,53,BA Economics
12th,56,76,Maths,94,54,Mechanical Engineering
12th,81,93,Maths,50,80,Mechanical Engineering
12th,83,92,Biology,80,99,B.Pharm
12th,82,55,Commerce,95,67,BA Economics
12th,75,80,Biology,78,55,B.Sc Nursing
12th,85,74,Maths,61,79,B.Tech IT
12th,76,96,Commerce,56,93,BBA
12th,99,56,Maths,58,67,B.Tech IT
12th,83,89,Commerce,57,60,CA Foundation
12th,78,76,Biology,90,72,B.Sc Nursing
12th,66,67,Biology,54,86,B.Sc Nursing
12th,91,89,Commerce,94,54,BA Economics
12th,81,59,Commerce,67,94,BA Economics
12th,66,57,Biology,62,97,BDS
12th,80,68,Biology,69,86,B.Sc Nursing
12th,71,57,Biology,51,92,B.Sc Nursing
12th,79,82,Biology,96,77,B.Sc Nursing
12th,63,71,Maths,59,61,B.Tech IT
12th,95,67,Biology,61,75,BDS
12th,59,92,Maths,71,52,B.E CSE
12th,74,94,Maths,84,97,Civil Engineering
12th,62,99,Commerce,64,74,BBA
12th,96,96,Commerce,78,63,BBA
12th,80,55,Commerce,61,94,B.Com
12th,91,70,Biology,59,83,B.Pharm
12th,65,71,Maths,69,53,Civil Engineering
12th,100,87,Biology,50,88,B.Sc Nursing
12th,90,72,Biology,57,99,BDS
12th,97,74,Commerce,67,70,CA Foundation
12th,100,81,Biology,98,87,MBBS
12th,73,88,Commerce,53,76,BBA
12th,57,71,Biology,80,69,B.Pharm
12th,69,55,Biology,84,72,B.Pharm
12th,78,56,Commerce,69,77,BA Economics
12th,68,61,Commerce,70,79,B.Com
12th,94,83,Maths,74,83,B.E CSE
12th,91,74,Biology,62,50,BDS
12th,94,65,Biology,84,64,MBBS
12th,56,70,Commerce,65,52,BBA
12th,72,77,Biology,60,73,B.Sc Nursing
12th,88,89,Biology,77,90,B.Pharm
12th,78,88,Biology,79,83,BDS
12th,60,97,Maths,52,72,B.E CSE
12th,89,95,Commerce,80,82,CA Foundation
12th,84,63,Maths,58,58,B.E CSE
12th,60,77,Biology,98,66,B.Sc Nursing
12th,93,55,Maths,64,70,B.Tech IT
12th,90,96,Commerce,77,85,CA Foundation
12th,82,96,Maths,65,76,Mechanical Engineering
12th,70,100,Maths,53,60,B.Tech IT
12th,72,78,Maths,81,85,Civil Engineering
12th,92,82,Maths,95,80,B.E CSE
12th,78,84,Commerce,95,95,CA Foundation
12th,62,80,Commerce,80,55,CA Foundation
12th,57,99,Maths,72,86,Mechanical Engineering
12th,99,90,Commerce,100,68,B.Com
12th,74,85,Biology,86,63,MBBS
12th,76,58,Maths,62,75,Civil Engineering
12th,96,72,Maths,99,55,Mechanical Engineering
12th,82,75,Biology,68,80,B.Pharm
12th,88,84,Commerce,72,65,BBA
12th,67,58,Biology,69,69,B.Sc Nursing
12th,88,61,Maths,74,69,B.E CSE
12th,57,59,Commerce,53,53,BA Economics
12th,67,60,Maths,93,98,B.E CSE
12th,83,97,Biology,97,61,BDS
12th,70,59,Maths,91,58,Mechanical Engineering
12th,64,91,Biology,65,66,MBBS
12th,75,84,Biology,68,56,B.Pharm
12th,86,63,Maths,66,65,B.E CSE
12th,71,60,Biology,82,81,BDS
12th,84,83,Biology,92,79,MBBS
12th,91,78,Biology,51,66,BDS
12th,87,79,Maths,64,64,Civil Engineering
12th,79,91,Commerce,87,64,B.Com
12th,92,80,Commerce,75,80,BA Economics
12th,98,70,Commerce,67,94,BBA
12th,57,70,Biology,92,96,MBBS
12th,61,57,Maths,79,88,Mechanical Engineering
12th,79,76,Commerce,71,77,CA Foundation
12th,71,81,Biology,82,65,B.Sc Nursing
12th,93,68,Biology,81,81,B.Pharm
12th,97,62,Maths,91,90,B.Tech IT
12th,94,91,Maths,92,96,Civil Engineering
12th,93,56,Biology,88,76,BDS
12th,71,85,Commerce,65,67,CA Foundation
12th,88,66,Maths,51,56,Mechanical Engineering
12th,83,93,Biology,89,60,BDS
12th,55,81,Maths,62,99,B.Tech IT
12th,99,85,Biology,94,88,MBBS
12th,72,55,Commerce,60,84,BA Economics
12th,61,75,Maths,54,90,Civil Engineering
12th,59,87,Maths,70,88,Mechanical Engineering
12th,95,58,Maths,79,99,B.E CSE
12th,64,69,Commerce,55,96,CA Foundation
12th,64,98,Maths,78,95,Civil Engineering
12th,55,63,Commerce,68,76,BBA
12th,72,96,Biology,75,65,MBBS
12th,67,97,Biology,55,71,B.Sc Nursing
12th,68,57,Maths,90,75,B.Tech IT
12th,68,80,Biology,68,64,BDS
12th,74,86,Commerce,99,82,CA Foundation
12th,80,82,Maths,56,82,B.E CSE
12th,95,80,Biology,60,51,MBBS
12th,66,72,Commerce,85,73,B.Com
12th,80,86,Biology,73,72,B.Sc Nursing
12th,63,66,Biology,63,50,BDS
12th,89,71,Biology,50,87,B.Sc Nursing
12th,57,97,Commerce,54,58,BA Economics
12th,94,74,Maths,69,71,Mechanical Engineering
12th,59,58,Maths,96,53,B.Tech IT
12th,95,62,Maths,86,50,Mechanical Engineering
12th,93,86,Commerce,91,73,CA Foundation
12th,84,56,Maths,80,71,B.Tech IT
12th,68,91,Biology,68,72,MBBS
12th,68,97,Maths,79,99,B.E CSE
12th,67,62,Commerce,88,64,BA Economics
12th,68,79,Commerce,58,90,BBA
12th,99,99,Commerce,58,98,BA Economics
12th,100,74,Maths,96,80,B.Tech IT
12th,55,97,Biology,96,91,B.Pharm
12th,64,99,Biology,100,84,B.Pharm
12th,74,66,Maths,83,64,B.Tech IT
12th,99,62,Commerce,64,53,BBA
12th,92,56,Commerce,73,77,CA Foundation
12th,71,91,Commerce,71,82,B.Com
12th,57,69,Biology,50,100,B.Sc Nursing
12th,58,74,Maths,60,89,B.E CSE
12th,82,94,Maths,91,93,Civil Engineering
12th,71,88,Maths,55,54,Civil Engineering
12th,83,57,Biology,57,55,B.Sc Nursing
12th,67,69,Maths,78,98,Civil Engineering
12th,60,97,Biology,77,75,B.Pharm
12th,55,92,Commerce,87,58,BBA
12th,96,99,Commerce,60,97,B.Com
12th,75,78,Biology,54,65,BDS
12th,97,64,Maths,61,59,Mechanical Engineering
12th,59,70,Commerce,75,86,CA Foundation
12th,89,64,Maths,66,74,B.E CSE
12th,80,61,Maths,87,53,B.E CSE
12th,70,69,Commerce,54,66,BA Economics
12th,85,81,Maths,80,52,Mechanical Engineering
12th,87,61,Maths,96,92,Civil Engineering
12th,94,88,Maths,61,71,B.Tech IT
12th,71,65,Maths,52,77,B.Tech IT
12th,96,80,Maths,77,66,Mechanical Engineering
12th,99,60,Biology,91,76,BDS
12th,92,88,Commerce,80,94,B.Com
12th,90,92,Biology,75,71,MBBS
12th,99,64,Maths,73,84,Civil Engineering
12th,85,82,Commerce,76,98,BA Economics
12th,63,70,Maths,76,57,B.Tech IT
12th,80,59,Commerce,83,53,CA Foundation
12th,85,87,Maths,61,66,B.E CSE
12th,86,79,Commerce,82,98,BBA
12th,87,65,Maths,51,92,Civil Engineering
12th,67,62,Biology,96,75,BDS
12th,78,60,Biology,91,52,BDS
12th,97,89,Biology,61,83,B.Sc Nursing
12th,73,56,Maths,77,71,Civil Engineering
12th,72,93,Biology,71,50,BDS
12th,93,97,Biology,100,55,BDS
12th,76,96,Commerce,51,86,BA Economics
12th,66,72,Commerce,75,53,BA Economics
12th,87,63,Commerce,93,66,B.Com
12th,73,56,Commerce,76,98,CA Foundation
12th,78,57,Maths,69,98,B.E CSE
12th,78,76,Biology,92,75,MBBS
12th,70,70,Biology,71,63,B.Sc Nursing
12th,70,95,Maths,59,70,B.E CSE
12th,87,86,Maths,83,58,B.Tech IT
12th,87,83,Maths,69,60,Civil Engineering
12th,89,66,Biology,99,54,MBBS
12th,59,77,Biology,55,73,BDS
12th,71,62,Commerce,78,87,B.Com
12th,80,97,Commerce,80,70,BA Economics
12th,59,85,Biology,76,87,BDS
12th,63,87,Commerce,75,61,BBA
12th,74,81,Maths,56,65,B.Tech IT
12th,100,72,Biology,90,96,BDS
12th,94,93,Maths,79,78,B.E CSE
12th,94,72,Commerce,51,96,BBA
12th,57,69,Commerce,67,93,CA Foundation
12th,64,91,Commerce,84,66,BBA
12th,62,84,Biology,64,84,B.Sc Nursing
12th,70,72,Commerce,67,65,CA Foundation
12th,88,97,Maths,99,62,B.Tech IT
12th,76,89,Biology,98,84,MBBS
12th,78,86,Biology,86,93,B.Sc Nursing
12th,68,78,Biology,74,73,BDS
12th,68,76,Maths,65,72,B.Tech IT
12th,71,59,Maths,53,64,B.E CSE
12th,76,92,Biology,89,63,BDS
12th,80,59,Maths,64,77,Civil Engineering
12th,96,98,Biology,78,87,BDS
12th,99,68,Maths,59,69,B.E CSE
12th,84,75,Commerce,92,60,B.Com
12th,68,71,Biology,52,89,BDS
12th,65,96,Maths,73,62,B.Tech IT
12th,74,92,Biology,84,52,MBBS
12th,58,76,Maths,56,65,B.E CSE
12th,62,85,Biology,84,62,BDS
12th,75,98,Biology,96,60,B.Pharm
12th,71,89,Commerce,71,68,CA Foundation
12th,75,79,Biology,50,58,BDS
12th,59,55,Commerce,62,83,CA Foundation
12th,62,98,Maths,98,96,B.Tech IT
12th,94,57,Biology,66,69,B.Sc Nursing
12th,85,67,Maths,50,55,Mechanical Engineering
12th,75,65,Commerce,90,63,CA Foundation
12th,59,98,Commerce,54,97,BA Economics
12th,68,63,Biology,83,99,B.Sc Nursing
12th,79,79,Commerce,61,95,CA Foundation
12th,87,81,Maths,91,51,B.Tech IT
12th,68,77,Maths,97,98,Civil Engineering
12th,58,62,Commerce,88,62,B.Com
12th,68,68,Maths,90,54,Mechanical Engineering
12th,64,83,Biology,69,85,B.Sc Nursing
12th,61,73,Biology,95,87,MBBS
12th,81,77,Biology,56,82,B.Pharm
12th,69,95,Maths,96,89,Civil Engineering
12th,87,97,Commerce,82,63,BBA
12th,70,73,Maths,58,61,B.Tech IT
12th,70,96,Biology,94,83,BDS
12th,67,91,Maths,60,89,B.Tech IT
12th,62,84,Biology,95,52,B.Sc Nursing
12th,74,78,Maths,68,91,Mechanical Engineering
12th,86,90,Commerce,86,96,BBA
12th,95,65,Biology,69,95,MBBS
12th,83,96,Maths,57,91,B.E CSE
12th,74,98,Maths,59,62,B.E CSE
12th,60,91,Maths,87,96,B.E CSE
12th,64,70,Commerce,50,73,BA Economics
12th,75,73,Maths,65,84,Civil Engineering
12th,55,78,Commerce,86,76,BBA
12th,84,68,Biology,82,66,B.Sc Nursing
12th,89,92,Commerce,82,85,B.Com
12th,64,62,Commerce,85,53,CA Foundation
12th,76,75,Commerce,77,93,BBA
12th,55,76,Commerce,57,92,BA Economics
12th,100,62,Maths,93,62,Civil Engineering
12th,91,100,Commerce,98,82,BBA
12th,93,58,Biology,93,50,B.Pharm
12th,57,84,Biology,69,57,B.Pharm
12th,61,89,Biology,90,77,B.Pharm
12th,85,59,Commerce,70,81,B.Com
12th,75,59,Maths,95,86,Mechanical Engineering
12th,67,59,Commerce,99,73,BA Economics
12th,70,55,Commerce,73,71,BA Economics
12th,83,68,Commerce,75,72,BBA
12th,78,69,Biology,80,82,MBBS
12th,75,67,Maths,70,80,B.Tech IT
12th,75,60,Biology,78,56,B.Sc Nursing
12th,66,74,Maths,87,67,B.E CSE
12th,63,89,Biology,52,84,B.Sc Nursing
12th,74,62,Biology,54,83,B.Pharm
12th,64,90,Commerce,96,59,CA Foundation
12th,90,83,Maths,86,73,Mechanical Engineering
12th,97,58,Maths,59,51,Mechanical Engineering
12th,91,96,Biology,65,81,BDS
12th,88,59,Maths,89,68,B.Tech IT
12th,89,73,Biology,87,54,BDS
12th,55,100,Maths,77,78,Civil Engineering
12th,91,67,Biology,77,80,BDS
12th,74,85,Commerce,84,62,CA Foundation
12th,77,81,Biology,86,84,BDS
12th,93,55,Maths,71,72,B.Tech IT
12th,90,84,Commerce,63,53,CA Foundation
12th,97,61,Biology,81,94,MBBS
12th,68,55,Commerce,71,89,B.Com
12th,72,94,Maths,62,74,Mechanical Engineering
12th,98,76,Maths,53,54,Civil Engineering
12th,83,88,Maths,94,57,Mechanical Engineering
12th,96,68,Biology,72,56,B.Sc Nursing
12th,98,99,Biology,76,58,BDS
12th,72,96,Commerce,91,54,CA Foundation
12th,86,80,Commerce,68,95,CA Foundation
12th,85,84,Maths,90,70,B.Tech IT
12th,69,78,Maths,81,94,Mechanical Engineering
12th,84,68,Maths,63,72,B.Tech IT
12th,75,98,Commerce,79,75,BBA
12th,79,99,Commerce,56,98,BA Economics
12th,66,79,Maths,70,87,B.Tech IT
12th,88,66,Maths,76,100,Mechanical Engineering
12th,72,62,Biology,87,85,BDS
12th,74,87,Maths,82,75,Civil Engineering
12th,64,72,Commerce,76,80,BA Economics
12th,63,96,Maths,50,71,Civil Engineering
12th,84,55,Commerce,60,68,BA Economics
12th,62,58,Commerce,57,78,B.Com
12th,61,96,Maths,50,71,Mechanical Engineering
12th,81,75,Commerce,99,59,BA Economics
12th,85,56,Maths,89,95,Mechanical Engineering
12th,79,91,Biology,84,89,B.Sc Nursing
12th,74,95,Commerce,93,100,BBA
12th,64,63,Commerce,75,64,BBA
12th,63,73,Biology,85,83,BDS
12th,84,55,Biology,99,87,B.Sc Nursing
12th,87,86,Maths,53,100,Civil Engineering
12th,96,95,Biology,56,62,BDS
12th,56,67,Maths,79,77,B.E CSE
12th,59,96,Maths,51,66,B.Tech IT
12th,95,82,Biology,90,69,MBBS
12th,78,81,Maths,92,66,Mechanical Engineering
12th,68,90,Biology,96,75,MBBS
12th,70,76,Commerce,52,65,CA Foundation
12th,98,75,Commerce,73,55,BA Economics
12th,88,75,Maths,55,91,B.Tech IT
12th,95,64,Maths,56,76,Mechanical Engineering
12th,95,55,Commerce,81,96,BBA
12th,76,70,Commerce,50,93,BA Economics
12th,96,75,Commerce,86,94,CA Foundation
12th,68,77,Maths,100,52,Mechanical Engineering
12th,71,85,Biology,92,78,B.Sc Nursing
12th,73,92,Commerce,98,76,BA Economics
12th,57,82,Commerce,84,82,BBA
12th,70,97,Biology,53,70,B.Pharm
12th,87,81,Maths,87,69,Mechanical Engineering
12th,70,89,Commerce,80,55,BA Economics
12th,63,98,Maths,82,54,B.E CSE
12th,93,87,Commerce,69,52,B.Com
12th,66,71,Biology,95,68,B.Sc Nursing
12th,81,80,Maths,85,99,B.Tech IT
12th,64,79,Maths,77,65,B.Tech IT
12th,97,65,Maths,56,76,B.E CSE
12th,97,67,Maths,56,93,B.E CSE
12th,57,65,Commerce,52,93,BBA
12th,65,69,Maths,67,84,B.Tech IT
12th,86,62,Commerce,73,92,B.Com
12th,84,81,Commerce,55,60,BA Economics
12th,82,99,Maths,94,97,B.E CSE
12th,88,93,Biology,87,54,B.Pharm
12th,60,68,Maths,86,85,B.Tech IT
12th,78,95,Commerce,61,99,BBA
12th,64,98,Maths,66,83,Mechanical Engineering
12th,78,56,Commerce,75,59,B.Com
12th,90,86,Biology,82,52,MBBS
12th,94,84,Biology,89,88,MBBS
12th,60,90,Maths,80,53,B.E CSE
12th,96,72,Biology,59,70,B.Pharm
12th,84,95,Maths,53,88,B.Tech IT
12th,59,77,Biology,75,100,MBBS
12th,69,55,Maths,99,73,B.E CSE
12th,88,73,Maths,58,80,Civil Engineering
12th,87,72,Biology,73,83,MBBS
12th,93,99,Biology,81,92,MBBS
12th,94,59,Commerce,88,74,BA Economics
12th,78,68,Commerce,84,69,BA Economics
12th,97,60,Commerce,100,53,B.Com
12th,79,90,Biology,98,80,B.Pharm
12th,85,72,Biology,74,85,MBBS
12th,84,84,Commerce,96,53,B.Com
12th,95,91,Biology,52,97,B.Pharm
12th,80,78,Maths,95,81,Civil Engineering
12th,86,74,Maths,79,86,Mechanical Engineering
12th,93,60,Maths,93,92,B.E CSE
12th,66,71,Maths,72,63,B.E CSE
12th,93,65,Commerce,80,95,CA Foundation
12th,77,55,Maths,97,68,Mechanical Engineering
12th,61,86,Biology,92,93,B.Pharm
12th,74,93,Maths,59,55,B.Tech IT
12th,95,77,Commerce,79,74,CA Foundation
12th,90,60,Maths,80,87,B.Tech IT
12th,95,65,Biology,58,87,B.Pharm
12th,71,91,Maths,89,52,Mechanical Engineering
12th,66,100,Maths,53,76,Mechanical Engineering
12th,75,93,Maths,70,66,B.E CSE
12th,64,60,Maths,91,83,B.E CSE
12th,80,73,Biology,64,79,BDS
12th,67,90,Biology,72,66,B.Sc Nursing
12th,100,89,Maths,89,91,B.Tech IT
12th,91,90,Biology,56,89,B.Sc Nursing
12th,62,60,Commerce,69,75,CA Foundation
12th,64,83,Biology,68,71,MBBS
12th,61,77,Biology,63,92,MBBS
12th,80,97,Biology,51,88,B.Sc Nursing
12th,68,62,Commerce,90,93,BBA
12th,78,75,Maths,70,70,B.E CSE
12th,72,86,Maths,79,75,B.E CSE
12th,90,66,Maths,65,66,B.Tech IT
12th,97,79,Biology,84,79,B.Sc Nursing
12th,81,57,Maths,70,78,B.E CSE
12th,68,61,Maths,56,68,B.Tech IT
12th,84,56,Maths,80,75,B.E CSE
12th,82,72,Commerce,58,68,BBA
12th,83,69,Biology,59,92,B.Pharm
12th,62,98,Biology,51,58,B.Pharm
12th,72,62,Maths,50,99,Mechanical Engineering
12th,87,97,Commerce,64,91,B.Com
12th,64,94,Maths,83,61,B.Tech IT
12th,62,93,Maths,65,64,Mechanical Engineering
12th,62,66,Commerce,71,92,BBA
12th,57,59,Maths,62,57,B.Tech IT
12th,88,73,Biology,93,53,B.Sc Nursing
12th,98,98,Commerce,99,52,B.Com
12th,79,57,Biology,79,84,B.Pharm
12th,98,55,Commerce,78,75,B.Com
12th,65,60,Commerce,76,92,BBA
12th,63,67,Maths,67,100,Civil Engineering
12th,62,79,Commerce,74,59,BA Economics
12th,76,89,Commerce,71,69,CA Foundation
12th,93,57,Biology,55,96,B.Pharm
12th,76,70,Maths,88,96,B.E CSE
12th,92,86,Biology,51,77,MBBS
12th,93,76,Commerce,59,100,CA Foundation
12th,79,60,Biology,75,86,BDS
12th,88,63,Biology,72,61,B.Pharm
12th,73,57,Biology,79,90,B.Sc Nursing
12th,83,74,Biology,86,96,BDS
12th,75,60,Biology,67,73,MBBS
12th,77,55,Biology,83,63,B.Sc Nursing
12th,64,70,Biology,93,73,BDS
12th,87,55,Commerce,74,73,BBA
12th,92,78,Maths,73,54,Civil Engineering
12th,70,78,Maths,74,55,B.E CSE
12th,85,99,Commerce,51,91,B.Com
12th,62,94,Commerce,74,72,BA Economics
12th,59,74,Biology,51,97,B.Pharm
12th,96,69,Commerce,56,95,CA Foundation
12th,67,61,Maths,95,73,Mechanical Engineering
12th,56,85,Commerce,53,96,BA Economics
12th,64,55,Maths,100,93,B.Tech IT
12th,74,65,Commerce,60,94,BBA
12th,86,74,Maths,97,87,B.E CSE
12th,78,96,Commerce,55,68,BBA
12th,64,82,Maths,95,81,B.Tech IT
12th,96,70,Biology,59,89,BDS
12th,74,72,Commerce,77,82,BBA
12th,80,62,Commerce,89,79,BBA
12th,74,90,Biology,69,70,MBBS
12th,97,70,Biology,77,62,BDS
